Date,Open,High,Low,Close,Adj Close,Volume
2019-07-08,434.000000,435.350006,422.000000,425.899994,413.225433,12184946
2019-07-09,426.000000,429.799988,424.649994,428.500000,415.748047,11679067
2019-07-10,430.000000,432.700012,427.200012,430.899994,418.076630,16494282
2019-07-11,432.649994,432.899994,424.799988,426.549988,413.856079,16535185
2019-07-12,427.299988,433.000000,424.000000,427.049988,414.341248,8824728
2019-07-15,428.399994,428.399994,421.600006,422.299988,409.732544,7825336
2019-07-16,421.549988,430.549988,421.549988,424.600006,411.964142,12149205
2019-07-17,424.600006,427.049988,422.500000,424.700012,412.061157,10961022
2019-07-18,425.000000,425.500000,417.500000,418.649994,406.191193,10651654
2019-07-19,419.899994,420.350006,408.500000,410.299988,398.089691,12260757
2019-07-22,409.750000,412.950012,404.250000,411.500000,400.229462,17937246
2019-07-23,412.799988,416.000000,409.750000,411.950012,401.643188,14207080
2019-07-24,411.850006,411.850006,401.700012,408.500000,398.279480,16505930
2019-07-25,409.200012,413.850006,405.299988,409.000000,398.766998,16852479
2019-07-26,410.250000,419.399994,408.549988,415.750000,405.348083,17493739
2019-07-29,433.000000,435.350006,425.299988,429.350006,418.607849,46754670
2019-07-30,433.000000,438.700012,422.750000,425.350006,414.707916,23617273
2019-07-31,423.899994,430.200012,421.200012,424.600006,413.976685,22329888
2019-08-01,423.250000,426.350006,410.649994,417.049988,406.615570,18269866
2019-08-02,413.899994,417.850006,405.500000,410.600006,400.326965,30939803
2019-08-05,403.649994,406.649994,395.750000,402.649994,392.575867,25033370
2019-08-06,401.000000,411.500000,400.899994,410.250000,399.985718,30665326
2019-08-07,409.299988,415.000000,406.299988,408.399994,398.181976,20977349
2019-08-08,411.000000,416.600006,404.149994,414.399994,404.031860,19046657
2019-08-09,416.500000,422.399994,414.500000,420.149994,409.638031,17664017
2019-08-13,417.000000,421.700012,409.149994,410.250000,399.985718,18389104
2019-08-14,411.899994,422.200012,411.250000,417.299988,406.859314,13307755
2019-08-16,417.799988,420.000000,412.100006,418.950012,408.468018,15154141
2019-08-19,420.100006,427.899994,420.100006,423.399994,412.806702,12304262
2019-08-20,420.799988,423.200012,412.500000,416.899994,406.469330,16181488
2019-08-21,416.000000,418.700012,410.549988,412.049988,401.740662,12868183
2019-08-22,411.000000,412.500000,398.000000,399.100006,389.114716,18182520
2019-08-23,389.000000,403.500000,385.799988,395.399994,385.507263,26883695
2019-08-26,407.000000,414.000000,392.850006,411.649994,401.350677,26701988
2019-08-27,412.799988,420.500000,411.250000,418.600006,408.126801,28793372
2019-08-28,418.000000,418.250000,409.700012,412.950012,402.618164,12154347
2019-08-29,409.899994,410.799988,399.350006,404.399994,394.282074,30331105
2019-08-30,406.500000,412.850006,402.649994,409.649994,399.400726,18314194
2019-09-03,405.049988,406.399994,391.049988,392.149994,382.338531,20194305
2019-09-04,391.000000,399.649994,389.899994,397.500000,387.554718,18614965
2019-09-05,389.549988,394.000000,388.000000,389.000000,379.267395,25022673
2019-09-06,391.000000,394.500000,389.200012,391.350006,381.558563,17564286
2019-09-09,393.000000,400.399994,389.100006,395.450012,385.556000,18651819
2019-09-11,394.899994,399.000000,393.350006,394.600006,384.727264,17463978
2019-09-12,399.649994,407.200012,399.649994,402.700012,392.624603,19577114
2019-09-13,406.799988,414.899994,400.649994,413.399994,403.056915,17775449
2019-09-16,408.500000,415.649994,406.750000,412.149994,401.838165,17629622
2019-09-17,405.850006,411.899994,398.299988,400.649994,390.625885,20793363
2019-09-18,405.450012,405.450012,396.500000,399.350006,389.358459,18477377
2019-09-19,395.700012,395.700012,384.350006,386.600006,376.927429,22647508
2019-09-20,389.000000,424.000000,386.649994,417.500000,407.054321,75217723
2019-09-23,435.799988,450.000000,428.450012,446.299988,435.133728,57490445
2019-09-24,441.500000,448.649994,433.350006,440.899994,429.868866,26639931
2019-09-25,439.100006,440.950012,429.600006,434.200012,423.336487,19987241
2019-09-26,439.000000,458.649994,438.549988,451.950012,440.642395,40909369
2019-09-27,449.500000,451.850006,443.299988,449.200012,437.961212,19432963
2019-09-30,443.299988,445.149994,431.000000,433.700012,422.848999,27524660
2019-10-01,436.950012,443.200012,416.700012,424.600006,413.976685,30623906
2019-10-03,424.000000,434.600006,422.299988,427.299988,416.609100,23275379
2019-10-04,428.500000,429.299988,412.049988,413.899994,403.544373,17952697
2019-10-07,415.100006,423.500000,411.500000,416.100006,405.689331,21933703
2019-10-09,420.250000,438.399994,417.100006,436.700012,425.773956,34533981
2019-10-10,430.000000,431.500000,420.500000,423.700012,413.099213,19074005
2019-10-11,427.950012,433.250000,422.100006,428.549988,417.827820,18004922
2019-10-14,430.000000,436.399994,426.000000,428.850006,418.120331,17211042
2019-10-15,430.000000,435.450012,428.200012,431.850006,421.045288,14971985
2019-10-16,434.500000,439.500000,431.149994,435.299988,424.408936,17833051
2019-10-17,436.000000,443.350006,433.700012,440.600006,429.576355,12452421
2019-10-18,437.700012,443.700012,435.250000,437.799988,426.846436,15988455
2019-10-22,440.500000,458.700012,437.549988,451.149994,439.862427,34966169
2019-10-23,452.000000,459.000000,448.200012,455.100006,443.713562,25196183
2019-10-24,457.399994,459.000000,451.000000,454.750000,443.372314,23542540
2019-10-25,457.700012,470.649994,454.399994,469.100006,457.363312,34397573
2019-10-27,471.000000,473.500000,465.000000,469.549988,457.802032,8206762
2019-10-29,470.200012,482.000000,466.850006,477.399994,465.455658,33686172
2019-10-30,479.000000,479.000000,470.000000,471.149994,459.362030,22396012
2019-10-31,475.000000,476.750000,461.299988,463.049988,451.464661,21198377
2019-11-01,466.649994,466.950012,460.500000,462.250000,450.684662,13522994
2019-11-04,463.000000,472.299988,463.000000,470.500000,458.728302,16254715
2019-11-05,472.100006,474.000000,466.899994,468.350006,456.632050,14952189
2019-11-06,467.149994,483.899994,464.750000,480.700012,468.673065,24922680
2019-11-07,483.000000,483.000000,475.649994,478.549988,466.576843,18312032
2019-11-08,480.750000,496.000000,480.299988,489.450012,477.204163,52207121
2019-11-11,488.000000,499.000000,484.600006,496.799988,484.370270,24766065
2019-11-13,496.799988,497.500000,483.299988,485.750000,473.596710,24272664
2019-11-14,489.750000,499.850006,483.750000,498.649994,486.173981,35396276
2019-11-15,497.850006,509.700012,496.000000,499.850006,487.343964,42074833
2019-11-18,498.750000,504.450012,496.649994,498.350006,485.881500,22910109
2019-11-19,497.950012,502.000000,489.850006,493.500000,481.152832,27939336
2019-11-20,495.200012,498.000000,492.500000,495.000000,482.615326,22606112
2019-11-21,498.100006,503.799988,491.250000,498.250000,485.783966,25745594
2019-11-22,501.100006,501.750000,492.149994,496.799988,484.370270,18462401
2019-11-25,492.000000,500.000000,491.549988,497.799988,485.345215,25692878
2019-11-26,501.799988,517.549988,501.000000,510.700012,497.922516,286857658
2019-11-27,513.900024,515.849976,504.299988,505.500000,492.852570,29866539
2019-11-28,509.549988,520.000000,508.000000,519.150024,506.161072,35706498
2019-11-29,516.000000,516.500000,510.299988,512.599976,499.774933,13324549
2019-12-02,513.450012,514.000000,507.250000,510.899994,498.117493,10130049
2019-12-03,509.750000,511.250000,504.649994,509.350006,496.606262,12795657
2019-12-04,510.000000,531.349976,509.299988,529.250000,516.008423,30992538
2019-12-05,532.549988,537.500000,526.049988,528.099976,514.887146,32354118
2019-12-06,530.049988,533.500000,521.650024,524.799988,511.669647,24868376
2019-12-09,524.049988,529.299988,522.200012,526.500000,513.327148,12980877
2019-12-10,526.049988,530.250000,524.700012,528.700012,515.472107,12021443
2019-12-11,530.599976,535.200012,527.200012,533.549988,520.200806,13768156
2019-12-12,534.849976,537.099976,529.799988,535.349976,521.955750,12385216
2019-12-13,537.900024,542.799988,535.700012,537.049988,523.613220,17884861
2019-12-16,539.500000,541.400024,536.700012,539.250000,525.758240,13070575
2019-12-17,540.950012,543.000000,538.750000,541.150024,527.610596,11516163
2019-12-18,542.049988,542.900024,535.950012,541.400024,527.854370,12906168
2019-12-19,537.200012,541.200012,533.700012,540.200012,526.684387,12082790
2019-12-20,540.950012,549.500000,539.250000,546.099976,532.436829,27691592
2019-12-23,547.000000,548.849976,537.599976,541.299988,527.756897,11521942
2019-12-24,542.000000,543.950012,539.299988,541.099976,527.561890,6715007
2019-12-26,541.099976,542.400024,537.650024,538.750000,525.270630,7831074
2019-12-27,541.000000,550.500000,538.349976,549.400024,535.654297,11247684
2019-12-30,549.599976,552.200012,542.599976,543.950012,530.340637,13180302
2019-12-31,543.799988,543.799988,538.000000,538.900024,525.416931,12491978
2020-01-01,539.900024,542.500000,535.700012,536.750000,523.320740,7642793
2020-01-02,536.000000,541.900024,535.849976,540.599976,527.074402,10264223
2020-01-03,538.000000,540.799988,536.250000,538.849976,525.368225,9594690
2020-01-06,537.250000,537.250000,523.799988,525.700012,512.547119,12534334
2020-01-07,531.299988,535.599976,521.650024,522.900024,509.817322,16101835
2020-01-08,516.000000,527.349976,515.000000,525.950012,512.790955,16094310
2020-01-09,530.700012,547.400024,530.299988,546.299988,532.631775,18934019
2020-01-10,544.900024,546.500000,538.500000,540.250000,526.733215,12335407
2020-01-13,539.400024,546.049988,538.000000,538.599976,525.124390,7901800
2020-01-14,536.200012,538.950012,534.150024,537.599976,524.149475,13939440
2020-01-15,535.099976,536.950012,530.650024,535.599976,522.199463,12353176
2020-01-16,533.900024,540.000000,533.200012,537.150024,523.710754,11249232
